name,coverage_cutoff,percent_cutoff,segment,segment_length,input_length,filtered_length,percentage,pass,median_coverage,mean_coverage
ReSeq_Sp19_HK1073_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,15462.0,13973.732620320856
New_Sm18_1974_d06_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,30.0,28.24123588829471
New_Sp20_2867_d10_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.14616755793226383
New_W17_1415_d02_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,18112.0,17094.85145573381
New_Sp20_2868_d02_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0903149138443256
New_Sm18_1974_d10_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.47237076648841353
New_Sm18_1977_d10_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.20380273321449793
New_Sm18_1980_d04_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,17661.0,16862.373143196673
New_Sm18_1974_d08_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.30718954248366015
New_FCC_2231_d08_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,17566.0,16272.899584076054
New_F17_1800_d10_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
New_Sp19_2251_d06_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,12907.0,12223.468211527035
ReSeq_F17_HK1073_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,4651.0,4338.595365418895
New_W17_1416_d06_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.4414735591206179
New_FCC_1787_d02_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,24601.0,23198.218657159832
New_W17_1409_d08_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,16426.0,15808.076648841356
New_Sm18_1986_d04_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.06001188354129531
New_Sm18_1912_d10_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,59.0,55.17765894236482
New_Sp19_2232_d08_rep1,200,0.95,H9N2_HA,1683,1683,1667,0.9904931669637552,YES,629.0,628.691027926322
New_Sp19_2239_d08_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,21580.0,20007.55614973262
New_F17_1794_d06_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,17020.0,15934.576945929886
New_Sm18_1913_d10_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,11457.0,11422.186571598337
New_F17_1797_d04_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,13555.0,13099.730243612597
New_Sm18_1984_d04_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,8617.0,8717.704099821747
New_W17_1416_d06_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,3233.0,3079.1663695781344
New_W17_1408_d02_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,18769.0,17552.016636957815
New_F17_1800_d08_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,50.0,49.150920974450386
New_F17_1801_d12_rep1,200,0.95,H9N2_HA,1683,1683,1634,0.9708853238265003,YES,664.0,617.1734997029115
New_W17_1417_d04_rep2,200,0.95,H9N2_HA,1683,1683,1651,0.9809863339275104,YES,928.0,904.6553773024361
New_Sm18_1973_d06_rep1,200,0.95,H9N2_HA,1683,1683,1646,0.978015448603684,YES,861.0,797.0148544266191
New_F17_1800_d10_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
New_F17_1789_d04_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,9391.0,9933.919191919193
New_Sm18_1977_d06_rep2,200,0.95,H9N2_HA,1683,1683,1664,0.9887106357694593,YES,1215.0,1334.6137849079025
New_W17_1410_d08_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
New_W17_1416_d08_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0748663101604278
New_Sm18_1914_d12_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.3303624480095068
New_Sp19_2239_d10_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,5892.0,5516.409982174688
New_F17_1800_d04_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,13690.0,12813.023172905527
New_Sm18_1910_d12_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.6868686868686869
New_W17_1414_d02_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
New_F17_1787_d12_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
New_Sp19_2244_d06_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.2620320855614973
New_F17_1797_d02_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,5992.0,5575.963161021985
New_Sp20_2867_d10_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.23945335710041593
New_P2_Seq_Water_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
ReSeq_Sm18_HK1073_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,16638.0,14831.448009506834
New_Sm18_1912_d12_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
New_Sp19_2232_d08_rep2,200,0.95,H9N2_HA,1683,1683,1674,0.9946524064171123,YES,701.0,703.5632798573976
New_Sm18_1977_d08_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,26.0,25.972073677956033
New_Sp19_2234_d04_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,2034.0,1895.8615567439097
New_Sm18_1912_d08_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.16993464052287582
New_F17_1801_d12_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
New_Sp19_2239_d02_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,15643.0,14374.131907308378
New_Sm18_1914_d06_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,10584.0,10117.67320261438
New_Sp19_2234_d04_rep1,200,0.95,H9N2_HA,1683,1683,1676,0.995840760546643,YES,1466.0,1379.600118835413
New_Sm18_1980_d02_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,8631.0,7974.228758169935
New_Sp19_2251_d08_rep2,200,0.95,H9N2_HA,1683,1683,1641,0.9750445632798574,YES,775.0,715.0903149138443
New_P2_3918_Uninfected_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.6066547831253714
New_FCC_1983_d02_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,16335.0,15569.527035056446
New_FCC_2231_d08_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,22637.0,21228.437908496733
New_F17_1789_d10_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.023172905525846704
New_F17_1797_d08_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,13388.0,13152.70707070707
New_W17_1417_d12_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,13879.0,13324.503862150921
New_Sm18_1977_d06_rep1,200,0.95,H9N2_HA,1683,1683,1664,0.9887106357694593,YES,1021.0,999.321449792038
New_W17_1409_d08_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,21544.0,20540.073083778967
ReSeq_W17_HK1073_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,1191.0,1161.1633986928105
New_Sm18_1913_d04_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
New_Sm18_1986_d10_rep1,200,0.95,H9N2_HA,1683,1683,1676,0.995840760546643,YES,3129.0,3829.224598930481
New_F17_1800_d12_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.13903743315508021
New_Sm18_1912_d10_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,44.0,44.9708853238265
New_Sm18_1972_d02_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,27.0,29.528223410576352
New_F17_1801_d02_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,18153.0,17094.658942364826
New_F17_1800_d12_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.035056446821152706
New_W17_1416_d04_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,6329.0,7189.850267379679
New_P1_3918_Uninfected_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
New_W17_1415_d08_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,16744.0,15402.879976232918
New_Sp19_2239_d06_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,19655.0,19150.052881758766
New_P1_MRTPCR_Water_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.1568627450980392
New_Sp19_2243_d08_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,21210.0,19860.777777777777
ReSeq_Sp20_HK1073_rep2,200,0.95,H9N2_PB2,2280,2280,2280,1.0,YES,4398.0,5370.25701754386
New_Sp20_2867_d02_rep1,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,0.0,0.9201754385964912
New_F17_1797_d08_rep1,200,0.95,H9N2_PB2,2280,2280,2280,1.0,YES,7272.0,6943.289473684211
New_Sm18_1974_d08_rep1,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,0.0,0.15570175438596492
New_Sm18_1912_d08_rep1,200,0.95,H9N2_PB2,2280,2280,0,0.0,NO,0.0,0.22850877192982455
