"name","STRAIN","segment","avg_coverage","above_cutoff","SegmentSize","percent_above","segment_count","quality"
"1912_d06","H9N2","H9N2_NP",8402.52738810955,1497,1497,100,8,"good"
"1912_d06","H9N2","H9N2_NS",17738.171875,864,864,100,8,"good"
"1912_d06","H9N2","H9N2_PA",3883.6229660623,2151,2151,100,8,"good"
"1912_d06","H9N2","H9N2_PB1",4306.12714097497,2277,2277,100,8,"good"
"1912_d06","H9N2","H9N2_HA",8368.94385026738,1683,1683,100,8,"good"
"1912_d06","H9N2","H9N2_MP",11736.4781059063,982,982,100,8,"good"
"1913_d06","H9N2","H9N2_NA",11178.3885327635,1404,1404,100,8,"good"
"1913_d06","H9N2","H9N2_PB2",10618.9298245614,2280,2280,100,8,"good"
"1913_d06","H9N2","H9N2_PB1",13801.1418533158,2277,2277,100,8,"good"
"1913_d06","H9N2","H9N2_NS",19821.7511574074,864,864,100,8,"good"
"1913_d06","H9N2","H9N2_HA",13298.3490790255,1683,1683,100,8,"good"
"1913_d06","H9N2","H9N2_NP",21413.6676686707,1497,1497,100,8,"good"
"1913_d06","H9N2","H9N2_MP",21438.7474541752,982,982,100,8,"good"
"1913_d06","H9N2","H9N2_PA",8977.42933519293,2151,2151,100,8,"good"
"1913_d08","H9N2","H9N2_MP",17604.683299389,982,982,100,8,"good"
"1913_d08","H9N2","H9N2_NS",18385.421875,864,864,100,8,"good"
"1913_d08","H9N2","H9N2_NA",13608.3945868946,1404,1404,100,8,"good"
"1913_d08","H9N2","H9N2_PB1",10088.5597277119,2277,2277,100,8,"good"
"1913_d08","H9N2","H9N2_NP",17355.838009352,1497,1497,100,8,"good"
"1913_d08","H9N2","H9N2_HA",12974.196969697,1683,1683,100,8,"good"
"1913_d08","H9N2","H9N2_PB2",8682.08969298246,2280,2280,100,8,"good"
"1913_d08","H9N2","H9N2_PA",9550.31589958159,2151,2151,100,8,"good"
"1913_d10","H9N2","H9N2_PA",9744.10971641097,2151,2151,100,8,"good"
"1913_d10","H9N2","H9N2_PB1",9275.57883179622,2277,2277,100,8,"good"
"1913_d10","H9N2","H9N2_PB2",8920.18377192982,2280,2280,100,8,"good"
"1913_d10","H9N2","H9N2_NA",12150.4294871795,1404,1404,100,8,"good"
"1913_d10","H9N2","H9N2_HA",11976.1687462864,1683,1683,100,8,"good"
"1913_d10","H9N2","H9N2_NP",16388.9442217769,1497,1497,100,8,"good"
"1913_d10","H9N2","H9N2_MP",18354.7698574338,982,982,100,8,"good"
"1913_d10","H9N2","H9N2_NS",18259.6001157407,864,864,100,8,"good"
"1914_d06","H9N2","H9N2_PB2",9633.04890350877,2280,2280,100,8,"good"
"1914_d06","H9N2","H9N2_PA",9639.55323105532,2151,2151,100,8,"good"
"1914_d06","H9N2","H9N2_NP",17517.0778223113,1497,1497,100,8,"good"
"1914_d06","H9N2","H9N2_MP",19197.3788187373,982,982,100,8,"good"
"1914_d06","H9N2","H9N2_NS",16749.5538194444,864,864,100,8,"good"
"1914_d06","H9N2","H9N2_PB1",10199.7602108037,2277,2277,100,8,"good"
"1914_d06","H9N2","H9N2_NA",13334.3550569801,1404,1404,100,8,"good"
"1914_d06","H9N2","H9N2_HA",13429.0448603684,1683,1683,100,8,"good"
"1968_d02","H9N2","H9N2_NS",22680.7702546296,864,864,100,8,"good"
"1968_d02","H9N2","H9N2_PB1",6596.73913043478,2277,2277,100,8,"good"
